Selection	View	Channel	Begin Path	File Duration (s)	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Species Code	Common Name	Confidence
138	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2715.0	2718.0	0	8000.0	zebfin2	Zebra Finch	0.2888
139	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2718.0	2721.0	0	8000.0	zebfin2	Zebra Finch	0.9591
140	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2721.0	2724.0	0	8000.0	zebfin2	Zebra Finch	0.3885
141	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2730.0	2733.0	0	8000.0	zebfin2	Zebra Finch	0.6239
142	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2733.0	2736.0	0	8000.0	zebfin2	Zebra Finch	0.3609
143	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2739.0	2742.0	0	8000.0	zebfin2	Zebra Finch	0.5792
144	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2742.0	2745.0	0	8000.0	zebfin2	Zebra Finch	0.5138
145	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2745.0	2748.0	0	8000.0	zebfin2	Zebra Finch	0.8367
146	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2748.0	2751.0	0	8000.0	zebfin2	Zebra Finch	0.5757
147	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2751.0	2754.0	0	8000.0	zebfin2	Zebra Finch	0.9647
148	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2760.0	2763.0	0	8000.0	zebfin2	Zebra Finch	0.7130
149	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2841.0	2844.0	0	8000.0	zebfin2	Zebra Finch	0.3286
150	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2856.0	2859.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9927
151	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2859.0	2862.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9988
152	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2865.0	2868.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.3140
153	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2874.0	2877.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9883
154	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2877.0	2880.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9867
155	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2880.0	2883.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.9964
156	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2883.0	2886.0	0	8000.0	chiwed2	Chirruping Wedgebill	0.7273
157	Spectrogram 1	1	desert/CON-UNGR_20230327_061102.wav	3597	2907.0	2910.0	0	8000.0	zebfin2	Zebra Finch	0.2895
